"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US36019","Clinton County, New York","81073","*****"
"0500000US36027","Dutchess County, New York","294473","*****"
"0500000US36029","Erie County, New York","921046","*****"
"0500000US36045","Jefferson County, New York","114006","*****"
"0500000US36047","Kings County, New York","2629150","*****"
"0500000US36051","Livingston County, New York","64257","*****"
"0500000US36053","Madison County, New York","71329","*****"
"0500000US36055","Monroe County, New York","747727","*****"
"0500000US36059","Nassau County, New York","1361500","*****"
"0500000US36061","New York County, New York","1643734","*****"
"0500000US36063","Niagara County, New York","211758","*****"
"0500000US36065","Oneida County, New York","231190","*****"
"0500000US36067","Onondaga County, New York","466194","*****"
"0500000US36069","Ontario County, New York","109828","*****"
"0500000US36071","Orange County, New York","379210","*****"
"0500000US36075","Oswego County, New York","118987","*****"
"0500000US36079","Putnam County, New York","98900","*****"
"0500000US36081","Queens County, New York","2333054","*****"
"0500000US36083","Rensselaer County, New York","160070","*****"
"0500000US36085","Richmond County, New York","476015","*****"
"0500000US36087","Rockland County, New York","326780","*****"
"0500000US36089","St. Lawrence County, New York","110038","*****"
"0500000US01003","Baldwin County, Alabama","208563","*****"
"0500000US01015","Calhoun County, Alabama","114611","*****"
"0500000US01043","Cullman County, Alabama","82471","*****"
"0500000US01049","DeKalb County, Alabama","70900","*****"
"0500000US01051","Elmore County, Alabama","81799","*****"
"0500000US01055","Etowah County, Alabama","102564","*****"
"0500000US01069","Houston County, Alabama","104056","*****"
"0500000US01073","Jefferson County, Alabama","659521","*****"
"0500000US01077","Lauderdale County, Alabama","92318","*****"
"0500000US01081","Lee County, Alabama","158991","*****"
"0500000US01083","Limestone County, Alabama","92753","*****"
"0500000US01089","Madison County, Alabama","356967","*****"
"0500000US01095","Marshall County, Alabama","95157","*****"
"0500000US01097","Mobile County, Alabama","414836","*****"
"0500000US01101","Montgomery County, Alabama","226349","*****"
"0500000US01103","Morgan County, Alabama","119012","*****"
"0500000US01115","St. Clair County, Alabama","88019","*****"
"0500000US01117","Shelby County, Alabama","210622","*****"
"0500000US01121","Talladega County, Alabama","80103","*****"
"0500000US01125","Tuscaloosa County, Alabama","206102","*****"
"0500000US01127","Walker County, Alabama","64967","*****"
